9508019,MAQUILLAJE LÍQUIDO SIMPLY NATURAL (UP+),50,310.66,327.93,309.91,291.90,273.88,255.86,344.83,400.00
9508020,MAQUILLAJE LÍQUIDO CREAMY NATURAL (UP+),50,310.66,327.93,309.91,291.90,273.88,255.86,344.83,400.00
9508021,MAQUILLAJE LÍQUIDO PALE (UP+),50,310.66,327.93,309.91,291.90,273.88,255.86,344.83,400.00
9508022,MAQUILLAJE LÍQUIDO GOLDEN BEGE (UP+),50,310.66,327.93,309.91,291.90,273.88,255.86,344.83,400.00
9511021,MAQUILLAJE COMPACTO 2 EN 1 NATURAL,42,260.17,274.64,259.55,244.46,229.37,214.28,288.79,335.00
9511022,MAQUILLAJE COMPACTO 2 EN 1 FAIR,42,260.17,274.64,259.55,244.46,229.37,214.28,288.79,335.00
9511023,MAQUILLAJE COMPACTO 2 EN 1 LIGHT,42,260.17,274.64,259.55,244.46,229.37,214.28,288.79,335.00
9511024,MAQUILLAJE COMPACTO 2 EN 1 MEDIUM,42,260.17,274.64,259.55,244.46,229.37,214.28,288.79,335.00
9516011,CORRECTOR LÍQUIDO LIGHT,23,139.79,147.56,139.45,131.35,123.24,115.13,155.17,180.00
9509011,RUBOR COMPACTO NECTAR,54,330.07,348.42,329.28,310.13,291.00,271.85,366.38,425.00
9509012,RUBOR COMPACTO PETAL,54,330.07,348.42,329.28,310.13,291.00,271.85,366.38,425.00
9514061,SOMBRA PARA OJOS PARTY TIME,33,213.58,225.46,213.07,200.68,188.29,175.90,237.07,275.00
9514062,SOMBRA PARA OJOS GALA COLLECTION,33,213.58,225.46,213.07,200.68,188.29,175.90,237.07,275.00
9514063,SOMBRA PARA OJOS DIVINE AUTUMN,33,213.58,225.46,213.07,200.68,188.29,175.90,237.07,275.00
9514064,SOMBRA PARA OJOS GIPSY FAIR,33,213.58,225.46,213.07,200.68,188.29,175.90,237.07,275.00
9506012,DELINEADOR PARA OJOS PENLINER,22,135.91,143.47,135.58,127.70,119.82,111.94,150.86,175.00
9505065,DELINEADOR LIQUIDO PARA OJOS MATE,24,143.68,151.67,143.34,135.00,126.66,118.33,159.48,185.00
9505064,DELINEADOR LIQUIDO ROLLER,27,178.63,188.56,178.20,167.84,157.48,147.12,198.28,230.00
9512021,RIMEL DE AGUA NEGRO,29,170.86,180.36,170.45,160.54,150.63,140.72,189.65,220.00
9505061,LAPIZ DELINEADOR DE OJOS NEGRO,28,178.63,188.56,178.20,167.84,157.48,147.12,198.28,230.00
9505062,LAPIZ DELINEADOR DE OJOS CAFÉ,28,178.63,188.56,178.20,167.84,157.48,147.12,198.28,230.00
9520011,SET DELINEADOR COMPACTO DE CEJAS,44,264.06,278.74,263.43,248.11,232.80,217.49,293.11,340.00
9517041,LABIAL HIDRATANTE ROSEY,22,132.03,139.37,131.71,124.06,116.40,108.74,146.55,170.00
9517042,LABIAL HIDRATANTE RASPBERRY,22,132.03,139.37,131.71,124.06,116.40,108.74,146.55,170.00
